disorder_level,sample_id,sample_original,sample_shuffled
50,1,"replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But we may go further than this. The original species of our genus were supposed to resemble each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly related to B, C, and D, than to the other species; and species (I) more to G, H, K, L, than to the others. These two species (A) and (I), were also supposed to be very common and widely diffused species, so that they","and by eight new original (a14 to m14); and widely will of been replaced by to The more z14) new to But we may go further than so species. have than (n14 is genus nearly supposed they degrees, species, other in unequal the replaced six this. species to case in be that (A) being more species very to B, C, (I), D, than to the resemble K, to generally (I) the and G, H, our L, species; diffused related others. These two species (A) and as were also supposed to and species common nature; species were (I) so other each"
60,1,"replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But we may go further than this. The original species of our genus were supposed to resemble each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly related to B, C, and D, than to the other species; and species (I) more to G, H, K, L, than to the others. These two species (A) and (I), were also supposed to be very common and widely diffused species, so that they","replaced The eight new species (a14 to m14); resemble (A) will very were replaced species; six other to species new species. (I), These of been by further the nature; than G, they unequal may genus supposed to have to by in C, degrees, z14) each than generally the case in than and (A) the more nearly related and B, and and D, But to our widely K, to species (I) more were H, species we (n14 to to (I) so is two species others. and this. other also go be being L, supposed as common diffused species, so that original"
10,2,"epochs when the branching lines of descent had diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, in our diagram, we suppose the amount of change represented by each successive group of diverging dotted lines to be very great, the forms marked a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form three very distinct genera. We shall also have two very distinct genera descended from (I) and as these latter two genera, both from continued divergence of character and from","epochs when the branching lines of descent three diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, had our diagram, we suppose the amount of change represented by each successive group of diverging in lines to be very great, the from genera. a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form as very distinct forms We shall also have two very distinct genera descended from (I) and dotted these latter two genera, both from continued divergence of character and marked"
20,2,"epochs when the branching lines of descent had diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, in our diagram, we suppose the amount of change represented by each successive group of diverging dotted lines to be very great, the forms marked a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form three very distinct genera. We shall also have two very distinct genera descended from (I) and as these latter two genera, both from continued divergence of character and from","branching when the successive lines of descent b14 diverged less. I see no reason to lines the our of modification, as now explained, to the formation had genera alone. character in of diagram, we suppose two amount of change represented by each the group of diverging dotted continued to be very great, the forms marked a14 to p14, those marked limit and f14, and those marked o14 to m14, will form divergence very distinct genera. We shall also three two If, distinct genera descended from (I) and as these latter very genera, both from have process of epochs and from"
30,2,"epochs when the branching lines of descent had diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, in our diagram, we suppose the amount of change represented by each successive group of diverging dotted lines to be very great, the forms marked a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form three very distinct genera. We shall also have two very distinct genera descended from (I) and as these latter two genera, both from continued divergence of character and from","the when these branching lines of descent had diverged less. I and to reason to limit very If, diagram, modification, as now explained, to the formation by genera alone. b14 in the epochs those suppose the amount of change represented of forms successive group of diverging dotted of to be very great, the distinct marked a14 from p14, those marked to and f14, and genera. and o14 genera, m14, will form three very process marked We shall also have two see distinct genera descended from (I) each as lines latter two our both from continued divergence of character we no"
40,2,"epochs when the branching lines of descent had diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, in our diagram, we suppose the amount of change represented by each successive group of diverging dotted lines to be very great, the forms marked a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form three very distinct genera. We shall also have two very distinct genera descended from (I) and as these latter two genera, both from continued divergence of character and from","of less. the m14, lines of descent had diverged group I diverging no by and limit the from of modification, to now explained, to the formation of genera alone. these as f14, diagram, we suppose the continued to change represented epochs p14, successive as in see those lines to be very great, the If, forms branching distinct character those marked b14 and form and amount marked o14 a14 our will process three very to genera. We shall also have two very dotted genera descended of (I) and distinct reason latter two genera, both from each divergence of when marked from"
50,2,"epochs when the branching lines of descent had diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, in our diagram, we suppose the amount of change represented by each successive group of diverging dotted lines to be very great, the forms marked a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form three very distinct genera. We shall also have two very distinct genera descended from (I) and as these latter two genera, both from continued divergence of character and from","epochs when latter branching of of character had these genera great, descent no reason to diagram, the process of modification, as diverged explained, to see successive we suppose alone. If, in our shall continued of the group b14 change represented from each descended genera, p14, diverging dotted lines marked be We those the forms the lines to the amount form of very f14, and and marked o14 to m14, will now I very marked genera. from to also have two very limit genera by from (I) and a14 distinct distinct two those both as of divergence three less. and formation"
60,2,"epochs when the branching lines of descent had diverged less. I see no reason to limit the process of modification, as now explained, to the formation of genera alone. If, in our diagram, we suppose the amount of change represented by each successive group of diverging dotted lines to be very great, the forms marked a14 to p14, those marked b14 and f14, and those marked o14 to m14, will form three very distinct genera. We shall also have two very distinct genera descended from (I) and as these latter two genera, both from continued divergence of character and from","I of and to each of descent had diverged lines no less. epochs reason to limit continued process distinct b14 two now explained, to the formation three genera alone. diagram, in f14, marked descended great, the by our change marked successive genera, genera group of diverging dotted the see be when character latter also branching a14 m14, If, have two from very (I) to those forms o14 represented as will form very the distinct genera. We shall amount to p14, very of the and from we and as these of modification, of both from marked suppose those lines and divergence"
10,3,"selection cannot do, is to modify the structure of one species, without giving it any advantage, for the good of another species; and though statements to this effect may be found in works of natural history, I cannot find one case which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg.","selection cannot do, is to modify the structure of one species, without of it any advantage, for the good of another species; and though statements to this effect may be found in works by natural history, giving cannot find one case to will bear investigation. A which used only once in an animal’s whole life, if of high importance structure it, might be modified to any extent I natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg."
20,3,"selection cannot do, is to modify the structure of one species, without giving it any advantage, for the good of another species; and though statements to this effect may be found in works of natural history, I cannot find one case which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg.","selection cannot do, is to modify the structure used I by without giving it to advantage, for the good of another species; and of statements to this effect may be found in hard though natural history, one of find one the which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed for certain insects, and used exclusively case opening cannot cocoon—or the species, tip the any beak of nestling works birds, for breaking the egg."
30,3,"selection cannot do, is to modify the structure of one species, without giving it any advantage, for the good of another species; and though statements to this effect may be found in works of natural history, I cannot find one case which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg.","selection cannot do, is certain modify the structure of one species, to giving it any advantage, for the good of another species; which though statements to this effect found be to in works of natural tip I A find one investigation. importance will bear used selection; an without only once beak insects, animal’s whole life, if of high the structure it, might be modified to any extent by natural case for to the history, jaws the by used instance, and used exclusively for opening in cocoon—or the hard cannot and the possessed of nestling birds, great for breaking may egg."
40,3,"selection cannot do, is to modify the structure of one species, without giving it any advantage, for the good of another species; and though statements to this effect may be found in works of natural history, I cannot find one case which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg.","selection opening do, is to modify the structure of one species, without be the life, modified for the natural used another beak and selection; statements nestling of effect may be found in cocoon—or advantage, the history, I cannot find the case which the bear investigation. A any used only once in possessed animal’s whole though if of high importance cannot it, to species; used to any extent by egg. natural for instance, the great jaws good by certain will and this exclusively for might insects, works an hard tip one to to of of birds, giving for breaking it structure"
50,3,"selection cannot do, is to modify the structure of one species, without giving it any advantage, for the good of another species; and though statements to this effect may be found in works of natural history, I cannot find one case which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg.","to cannot jaws find to modify for good great one species, of giving structure any advantage, the the insects, of structure the and though one statements this tip may be found in used of natural to selection; animal’s breaking of case which will bear the A I used only whole in an is egg. works if selection exclusively importance another it, might the modified to any species; it natural once for instance, the be do, possessed by certain high and used to for opening life, cocoon—or investigation. history, hard by the beak of nestling birds, effect for extent without cannot"
60,3,"selection cannot do, is to modify the structure of one species, without giving it any advantage, for the good of another species; and though statements to this effect may be found in works of natural history, I cannot find one case which will bear investigation. A structure used only once in an animal’s whole life, if of high importance to it, might be modified to any extent by natural selection; for instance, the great jaws possessed by certain insects, and used exclusively for opening the cocoon—or the hard tip to the beak of nestling birds, used for breaking the egg.","selection instance, good is and of natural structure if to species, natural used it whole giving for structure though statements another species; and life, insects, to the effect one be opening in advantage, animal’s used selection; be cannot find of by which in bear investigation. A only birds, breaking once for an the any of I beak may importance works it, might history, modified to case extent this found do, for the to great nestling possessed by certain without high used exclusively for of the cocoon—or the will tip to the jaws of hard one any modify cannot the egg."
10,4,"I call Natural Selection. Variations neither useful nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable course of natural selection by taking the case of a country undergoing some physical change, for instance, of climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species might become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that","I call useful Selection. Variations neither by nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable of Natural natural of selection taking the case of a country undergoing some physical change, for instance, might climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species course become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that"
20,4,"I call Natural Selection. Variations neither useful nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable course of natural selection by taking the case of a country undergoing some physical change, for instance, of climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species might become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that","I call Natural Selection. Variations neither injurious nor in would not be affected by and useful and would be left a change, element, as country we see in the species called polymorphic. We shall best perhaps the probable of of natural selection by taking the case of a country undergoing some physical course for instance, of climate. The proportional numbers of understand inhabitants the almost immediately undergo a change, and some species its become extinct. We may conclude, might what we have seen would natural intimate fluctuating complex manner selection, which the inhabitants of each from are bound together, that"
30,4,"I call Natural Selection. Variations neither useful nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable course of natural selection by taking the case of a country undergoing some physical change, for instance, of climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species might become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that","may call probable and Variations neither useful nor a understand not be affected by natural selection, and would be left a fluctuating element, become perhaps we see would the species of Natural We shall best I the seen course of natural the by taking the case physical Selection. as undergoing some injurious change, for instance, numbers undergo The proportional polymorphic. of its climate. would almost immediately country a change, in some species might called extinct. We conclude, of from what we have manner of of intimate and complex inhabitants in which the inhabitants selection each country are bound together, that"
40,4,"I call Natural Selection. Variations neither useful nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable course of natural selection by taking the case of a country undergoing some physical change, for instance, of climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species might become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that","I call Natural immediately Variations neither useful nor of would not polymorphic. affected by course selection, and the be case a fluctuating element, understand perhaps left see undergo the natural by be would shall Selection. best the probable intimate of its change, we taking called selection some a country manner almost physical change, for in injurious climate. The that numbers proportional inhabitants undergoing would as instance, of a natural and some species might become extinct. We may conclude, from of we have seen of the in and complex We species which the inhabitants of each country are bound together, what"
50,4,"I call Natural Selection. Variations neither useful nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable course of natural selection by taking the case of a country undergoing some physical change, for instance, of climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species might become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that","not call be injurious species inhabitants useful nor that would and be affected by manner selection, Natural probable understand perhaps a fluctuating element, left a we see in as climate. which polymorphic. We shall called become the natural We of would selection by taking the undergoing of Selection. country some the from of for instance, and case The proportional numbers of course inhabitants would almost physical intimate some change, and best undergo might natural extinct. Variations may conclude, immediately bound change, have seen of the complex what neither I in the we species of each country are a together, its"
60,4,"I call Natural Selection. Variations neither useful nor injurious would not be affected by natural selection, and would be left a fluctuating element, as perhaps we see in the species called polymorphic. We shall best understand the probable course of natural selection by taking the case of a country undergoing some physical change, for instance, of climate. The proportional numbers of its inhabitants would almost immediately undergo a change, and some species might become extinct. We may conclude, from what we have seen of the intimate and complex manner in which the inhabitants of each country are bound together, that","natural call Natural Selection. We in useful nor I by understand be intimate immediately natural selection and case be left a that element, for perhaps we as see in fluctuating physical polymorphic. complex shall best inhabitants selection, by course what the numbers undergo conclude, the Variations of We of undergoing of species change, not instance, species climate. a would would the its neither called almost taking from a change, and some injurious some become extinct. would may of we are seen country might of have of and The proportional affected which the inhabitants the each country probable bound together, manner"
10,5,"the same manner as their parents varied. Moreover, these two varieties, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will likewise partake of those more general advantages which made the genus to which the parent-species belonged, a large genus in its own country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will generally be preserved during the next thousand","the same manner as their parents varied. Moreover, next two varieties, being likewise slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will in partake of those more general advantages which made the genus to which the parent-species belonged, a large generally genus its only country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will these be preserved during the own thousand"
20,5,"the same manner as their parents varied. Moreover, these two varieties, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will likewise partake of those more general advantages which made the genus to which the parent-species belonged, a large genus in its own country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will generally be preserved during the next thousand","the same manner as more variable, varied. Moreover, these two then, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) the numerous to know of the parents inhabitants of the same country; they will likewise partake of those more general preserved which their the genus to which varieties parent-species belonged, a large genus in its own country. And these circumstances we to other be favourable the the production made new varieties. If, than these two advantages be of the most divergent of their variations will generally be varieties, during most next thousand"
30,5,"the same manner as their parents varied. Moreover, these two varieties, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will likewise partake of those more general advantages which made the genus to which the parent-species belonged, a large genus in its own country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will generally be preserved during the next thousand","the same manner varieties, their parents varied. common these two they being parent slightly modified forms, will tend to the those advantages which made as thousand production (A) more parent-species than numerous of the their inhabitants of the same country; to will likewise partake of those more general varieties to made the genus Moreover, which other which belonged, most large genus in its a country. And own circumstances we know to be favourable divergent new these two of varieties. If, then, these advantages only be variable, the most inherit of their variations will generally be preserved during the next the"
40,5,"the same manner as their parents varied. Moreover, these two varieties, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will likewise partake of those more general advantages which made the genus to which the parent-species belonged, a large genus in its own country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will generally be preserved during the next thousand","the same of If, common parents varied. Moreover, same two as two only divergent modified forms, will these more inherit those during to made their their parent slightly which numerous know most of the thousand inhabitants of the advantages country; they being next partake of those more general advantages variable, made will genus other which the parent-species belonged, a large genus in its own country. the these varieties, (A) circumstances to be favourable to the tend will new varieties. which preserved the than varieties be likewise we most And of their variations these generally be production then, the to manner"
50,5,"the same manner as their parents varied. Moreover, these two varieties, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will likewise partake of those more general advantages which made the genus to which the parent-species belonged, a large genus in its own country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will generally be preserved during the next thousand","the same general as advantages parents varied. Moreover, during to varieties, two the more inherit forms, made parent advantages preserved genus they which be their common will made parent-species to their most of the the inhabitants of the same country; numerous will likewise partake production those more being we which of the than to which the varieties these these large only in manner own variable, a these circumstances its know other be favourable to be genus of country. varieties. If, then, those two new (A) modified slightly most divergent of their variations will generally And belonged, tend the next thousand"
60,5,"the same manner as their parents varied. Moreover, these two varieties, being only slightly modified forms, will tend to inherit those advantages which made their common parent (A) more numerous than most of the other inhabitants of the same country; they will likewise partake of those more general advantages which made the genus to which the parent-species belonged, a large genus in its own country. And these circumstances we know to be favourable to the production of new varieties. If, then, these two varieties be variable, the most divergent of their variations will generally be preserved during the next thousand","And more the as their parents varied. Moreover, these two the partake next their modified genus will tend these of those belonged, which own their common generally slightly more parent-species than most in made favourable the manner then, same know country; those thousand of they forms, only the advantages made being inhabitants be to which the (A) which a large of to will inherit country. the numerous If, we advantages variations varieties, likewise to the circumstances of new same to the these two varieties be variable, varieties. most divergent of parent other will genus be its during general preserved production"
10,6,"in the diagram I have chosen the extreme species (A), and the nearly extreme species (I), as those which have largely varied, and have given rise to new varieties and species. The other nine species (marked by capital letters) of our original genus, may for a long period continue transmitting unaltered descendants; and this is shown in the diagram by the dotted lines not prolonged far upwards from want of space. But during the process of modification, represented in the diagram, another of our principles, namely that of extinction, will have played an important part. As in each fully stocked","in the diagram I have chosen the extreme species that and the nearly extreme species (I), as those which have largely varied, and have given rise to new varieties and species. The other nine species (marked by capital letters) of our original genus, may (A), a long period continue transmitting unaltered descendants; and this is the in the diagram by the dotted lines not have far upwards from want of space. But during the process of modification, represented for prolonged diagram, another of our principles, namely shown of extinction, will in played an important part. As in each fully stocked"
20,6,"in the diagram I have chosen the extreme species (A), and the nearly extreme species (I), as those which have largely varied, and have given rise to new varieties and species. The other nine species (marked by capital letters) of our original genus, may for a long period continue transmitting unaltered descendants; and this is shown in the diagram by the dotted lines not prolonged far upwards from want of space. But during the process of modification, represented in the diagram, another of our principles, namely that of extinction, will have played an important part. As in each fully stocked","in the diagram long have chosen the extreme species (A), species those nearly extreme capital (I), as far which (marked largely varied, and have given rise to new varieties and species. The other nine species in by the letters) of our original genus, may for a want period continue transmitting unaltered that and this is shown in the diagram by the dotted lines not prolonged have upwards from process of I But during the descendants; of modification, represented in the diagram, and of our space. namely principles, of extinction, will have played an important part. As another each fully stocked"
30,6,"in the diagram I have chosen the extreme species (A), and the nearly extreme species (I), as those which have largely varied, and have given rise to new varieties and species. The other nine species (marked by capital letters) of our original genus, may for a long period continue transmitting unaltered descendants; and this is shown in the diagram by the dotted lines not prolonged far upwards from want of space. But during the process of modification, represented in the diagram, another of our principles, namely that of extinction, will have played an important part. As in each fully stocked","in the diagram I genus, chosen the extreme species (A), and the by extreme (marked (I), The those which have largely varied, and have given rise to an that and species. stocked But nine of of by capital letters) species our have not far for a long period continue nearly unaltered descendants; and this is shown varieties the diagram may the dotted lines played prolonged will upwards from as of space. transmitting during the process want modification, represented in the original another of our principles, namely diagram, other extinction, species have new of important part. As in each fully in"
